url, name, registrar, creation_date, expiration_date, last_updated, registrant name, name_servers
fonts.gstatic.com, gstatic.com, MarkMonitor Inc., 2008-02-11 15:31:25, 2020-02-11 15:31:25, None, , set(), 
i.ytimg.com, ytimg.com, MarkMonitor Inc., 2007-12-11 22:38:13, 2019-12-11 22:38:13, None, , set(), 
yt3.ggpht.com, ggpht.com, MarkMonitor Inc., 2008-01-16 18:55:33, 2020-01-16 18:55:33, None, , set(), 
ad.doubleclick.net, doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, , set(), 
tag.researchnow.com, researchnow.com, CSC Corporate Domains, Inc., 1997-07-19 04:00:00, 2020-07-18 04:00:00, None, Research Now Limited, set(), 
match.adsrvr.org, adsrvr.org, GoDaddy.com, LLC, 2010-03-29 16:20:39, 2021-03-29 16:20:39, None, The Trade Desk, set(), 
static.chartbeat.com, chartbeat.com, Network Solutions, LLC, 2004-08-02 18:32:25, 2020-08-02 18:32:25, None, , set(), 
cm.g.doubleclick.net, doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, , set(), 
adservice.google.com, google.com, MarkMonitor Inc., 1997-09-15 04:00:00, 2028-09-14 04:00:00, None, , set(), 
cookie.brealtime.com, brealtime.com, GoDaddy.com, LLC, 2012-04-17 15:15:46, 2020-04-17 15:15:46, None, ORC International, set(), 
image2.pubmatic.com, pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, PubMatic, Inc., set(), 
code.jquery.com, jquery.com, eNom, LLC, 2005-12-10 23:01:26, 2020-12-08 16:05:47, None, Whois Privacy Protection Service, Inc., set(), 
static.ads-twitter.com, ads-twitter.com, MarkMonitor Inc., 2016-05-26 23:38:32, 2020-05-26 23:38:32, None, , set(), 
pm.w55c.net, w55c.net, NameCheap, Inc., 2009-05-13 21:08:06, 2026-05-13 21:08:06, None, DataXu, set(), 
odr.mookie1.com, mookie1.com, CSC Corporate Domains, Inc., 2008-04-18 16:44:19, 2020-04-18 16:44:19, None, Xaxis, set(), 
code.createjs.com, createjs.com, Tucows Domains Inc., 2011-03-20 15:24:10, 2020-03-20 15:24:10, None, REDACTED FOR PRIVACY, set(), 
mid.rkdms.com, rkdms.com, Network Solutions, LLC, 2003-02-08 11:55:11, 2021-02-08 11:55:11, None, , set(), 
a125375509.cdn.optimizely.com, optimizely.com, GoDaddy.com, LLC, 2010-01-11 03:01:32, 2020-01-11 03:01:32, None, Optimizely, set(), 
events.bouncex.net, bouncex.net, Tucows Domains Inc., 2017-05-05 16:10:40, 2020-05-05 16:10:40, None, Contact Privacy Inc. Customer 0148182090, set(), 
cdn.segment.com, segment.com, GoDaddy.com, LLC, 1998-07-06 04:00:00, 2025-07-05 04:00:00, None, Domains By Proxy, LLC, set(), 
rtb.mfadsrvr.com, mfadsrvr.com, DYNADOT, LLC, 2017-01-09 23:44:31, 2027-01-09 23:44:31, None, , set(), 
match.zorosrv.com, zorosrv.com, GoDaddy.com, LLC, 2015-08-30 13:38:17, 2022-08-30 13:38:17, None, Taboola, Inc, set(), 
ads.pubmatic.com, pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, PubMatic, Inc., set(), 
mcdp-nydc1.outbrain.com, outbrain.com, Network Solutions, LLC, 2004-08-09 20:58:16, 2023-08-09 20:58:16, None, , set(), 
ad.turn.com, turn.com, Network Solutions, LLC, 1995-03-31 05:00:00, 2024-04-01 04:00:00, None, , set(), 
a.tribalfusion.com, tribalfusion.com, Network Solutions, LLC, 1998-09-11 04:00:00, 2029-09-10 04:00:00, None, , set(), 
api.rlcdn.com, rlcdn.com, NameCheap, Inc., 2009-10-20 03:59:44, 2019-11-26 04:59:59, None, WhoisGuard, Inc., set(), 
acdn.adnxs.com, adnxs.com, MarkMonitor Inc., 2008-05-27 17:02:39, 2020-05-27 17:02:39, None, , set(), 
pippio.com, pippio.com, NameCheap, Inc., 2011-07-04 08:59:36, 2020-07-04 08:59:36, None, WhoisGuard, Inc., set(), 
p.adsymptotic.com, adsymptotic.com, MarkMonitor Inc., 2010-09-09 21:24:16, 2023-09-09 21:24:16, None, , set(), 
logx.optimizely.com, optimizely.com, GoDaddy.com, LLC, 2010-01-11 03:01:32, 2020-01-11 03:01:32, None, Optimizely, set(), 
geolocation.onetrust.com, onetrust.com, NameCheap, Inc., 2004-01-12 19:08:04, 2020-01-12 19:08:04, None, WhoisGuard, Inc., set(), 
widgets.outbrain.com, outbrain.com, Network Solutions, LLC, 2004-08-09 20:58:16, 2023-08-09 20:58:16, None, , set(), 
pixel.tapad.com, tapad.com, MarkMonitor Inc., 2002-08-15 06:31:57, 2021-08-15 06:31:57, None, , set(), 
rtb.adentifi.com, adentifi.com, GoDaddy.com, LLC, 2011-11-19 02:43:06, 2019-11-19 02:43:06, None, AdTheorent Inc, set(), 
bea4.v.fwmrm.net, fwmrm.net, Register.com, Inc., 2007-11-13 19:21:54, 2021-11-13 19:21:54, None, , set(), 
cdn3.optimizely.com, optimizely.com, GoDaddy.com, LLC, 2010-01-11 03:01:32, 2020-01-11 03:01:32, None, Optimizely, set(), 
s.amazon-adsystem.com, amazon-adsystem.com, MarkMonitor Inc., 2011-09-16 18:47:08, 2024-09-16 18:47:08, None, , set(), 
